FFP_TIER,FLIGHT_COUNT,LAST_TO_END,EXCHANGE_COUNT,SEG_KM_SUM,Points_Sum,age,ffp_year
6,210,1,34,580717,619760,31.0,2006
6,140,7,29,293678,415768,42.0,2007
6,135,11,20,283712,406361,40.0,2007
5,23,97,11,281336,372204,64.0,2008
6,152,5,27,309928,338813,48.0,2009
6,92,79,10,294585,343121,64.0,2008
6,101,1,20,287042,298873,46.0,2006
6,73,3,7,287230,351198,50.0,2010
5,56,6,5,321489,295158,50.0,2011
6,64,15,13,375074,251907,43.0,2010
6,43,22,1,262013,337839,34.0,2010
6,145,6,15,271438,353101,47.0,2004
5,29,67,3,321529,245808,58.0,2006
6,118,3,14,179514,270704,47.0,2006
6,50,2,9,270067,328345,45.0,2010
4,22,65,6,234721,310002,63.0,2008
6,101,7,15,172231,257193,48.0,2010
6,40,45,12,284160,281705,50.0,2010
6,64,2,16,169358,249914,54.0,2006
6,38,24,0,332896,215694,41.0,2011
6,106,4,4,167113,251134,49.0,2008
6,23,6,7,214590,286520,0.0,2011
6,94,23,5,305250,277394,69.0,2005
6,20,74,8,222380,280760,41.0,2010
5,44,17,10,281837,235939,48.0,2010
6,62,17,7,243674,274882,39.0,2010
6,213,3,0,187917,795398,46.0,2007
6,74,11,8,148685,235176,47.0,2005
6,101,18,3,159129,237787,62.0,2006
6,87,11,9,149254,224081,46.0,2008
6,53,2,3,144076,211879,55.0,2006
6,95,8,8,149053,212131,46.0,2004
6,131,16,14,220948,234826,69.0,2005
6,95,3,8,148227,220012,45.0,2006
6,47,3,5,285144,251712,48.0,2006
4,25,108,9,220389,258717,53.0,2009
4,24,34,6,189813,239108,39.0,2005
6,54,125,5,141012,206363,37.0,2006
6,166,1,10,229303,260880,45.0,2007
6,81,34,1,140819,213436,63.0,2009
6,98,2,11,137876,210435,48.0,2006
6,35,3,13,201141,254051,63.0,2011
6,95,3,1,140803,220352,54.0,2007
5,46,13,0,256766,191878,51.0,2010
6,54,38,0,160825,230772,49.0,2004
6,21,22,4,185493,237893,39.0,2010
6,110,1,5,187588,227957,47.0,2012
6,134,7,9,140356,200953,59.0,2006
6,107,2,2,135811,205938,76.0,2005
5,70,304,8,219282,199386,49.0,2010
6,189,1,5,235687,262134,40.0,2008
6,87,4,3,132283,206809,51.0,2012
6,29,11,7,211369,226692,46.0,2006
5,48,1,3,130135,195368,54.0,2007
6,68,1,2,135374,201197,49.0,2007
6,111,4,19,216560,272042,41.0,2004
6,69,22,6,131660,199477,38.0,2007
6,126,4,2,204371,234654,48.0,2008
6,55,15,0,153868,177562,42.0,2004
5,76,21,5,214921,190530,59.0,2005
6,68,15,3,127335,186501,48.0,2005
6,77,1,4,136121,195217,60.0,2004
6,84,6,1,186821,204668,52.0,2010
6,96,14,12,204612,259585,31.0,2011
6,30,8,2,164001,219035,44.0,2010
6,85,19,8,121097,195796,53.0,2005
5,32,88,8,182563,206462,39.0,2007
5,34,19,10,170121,201302,53.0,2010
6,197,1,0,275800,134178,30.0,2010
6,30,7,3,184194,212047,43.0,2008
6,18,62,2,209911,182497,33.0,2012
6,64,19,9,137636,202596,55.0,2009
6,149,4,4,219108,170799,37.0,2011
6,61,13,3,143186,170871,47.0,2007
5,36,36,2,209839,181775,28.0,2010
6,22,22,0,170406,208960,45.0,2010
6,23,29,1,169224,220828,46.0,2013
4,16,18,3,163191,206055,44.0,2011
6,102,8,1,140220,258781,42.0,2010
5,81,6,20,159255,224076,47.0,2005
6,30,6,4,208687,177837,37.0,2012
5,127,12,7,170611,210483,53.0,2006
6,56,2,5,116728,164783,44.0,2008
6,79,1,2,208797,154520,67.0,2012
6,97,9,3,155881,210280,47.0,2005
6,158,2,3,205159,167943,57.0,2004
6,64,7,0,115300,177907,55.0,2006
6,51,13,1,137500,175423,47.0,2010
6,29,144,6,157056,196377,35.0,2007
6,69,1,10,114077,171652,70.0,2007
6,88,15,6,122619,203485,40.0,2008
6,42,15,4,162453,198945,54.0,2011
6,129,10,8,109813,209250,43.0,2007
6,67,14,0,123464,167126,46.0,2006
5,12,53,0,146784,208118,41.0,2010
6,100,4,2,162250,234787,40.0,2004
6,69,11,14,118726,189498,66.0,2005
6,17,34,2,125349,166984,55.0,2011
6,12,9,2,146784,195408,39.0,2004
6,54,4,0,144562,138647,49.0,2012
6,79,21,7,123985,214323,51.0,2008
6,87,5,9,105119,155309,56.0,2008
5,53,17,12,144682,143172,41.0,2012
6,92,17,13,134823,213043,47.0,2007
6,48,11,5,150537,220976,55.0,2010
6,90,3,6,108184,154547,48.0,2005
6,56,9,0,104663,150939,61.0,2009
6,146,4,8,191328,181374,36.0,2005
6,35,15,0,167150,151293,33.0,2011
6,33,63,3,174046,164243,55.0,2011
6,142,7,7,177357,172256,45.0,2005
6,31,44,3,204438,162728,30.0,2010
6,53,29,5,102999,159103,42.0,2006
5,21,14,7,159605,174849,53.0,2007
4,16,27,0,195712,133754,49.0,2012
6,85,3,15,155704,182967,43.0,2004
6,71,22,6,119961,156664,59.0,2004
6,130,2,2,167593,258114,42.0,2008
6,89,4,3,149557,295393,40.0,2010
6,83,11,11,103087,165577,59.0,2005
6,99,2,9,162215,200588,36.0,2004
4,40,27,2,198627,152573,54.0,2005
6,52,11,5,99524,144914,48.0,2008
6,65,10,12,119794,216228,49.0,2005
5,34,3,1,151642,186619,48.0,2005
6,83,6,0,149993,165704,41.0,2006
5,65,24,0,109089,154356,46.0,2011
6,18,23,2,146238,180183,47.0,2012
6,66,4,1,102689,174814,47.0,2007
6,52,2,2,105167,155485,51.0,2006
6,27,38,0,182561,122509,34.0,2011
6,193,1,17,209912,242611,66.0,2004
6,65,6,1,184730,153208,50.0,2012
4,14,59,2,144708,179310,62.0,2012
5,24,11,2,213058,111104,63.0,2009
6,89,17,0,177556,141293,44.0,2010
6,57,8,10,98104,155326,50.0,2008
6,101,12,9,140188,181303,42.0,2009
6,19,16,0,155552,139379,33.0,2013
5,95,24,9,140931,142516,47.0,2006
6,85,7,3,97855,194017,51.0,2008
6,108,22,12,169746,192071,47.0,2004
6,64,4,15,97250,153682,51.0,2004
6,113,3,3,204853,170970,53.0,2005
6,31,1,13,95766,158587,56.0,2009
6,79,5,6,129119,160671,56.0,2005
5,109,17,1,163010,144137,39.0,2012
4,19,18,3,201613,81412,52.0,2009
6,120,25,13,172352,181078,31.0,2009
5,45,1,1,116917,144550,47.0,2006
4,19,135,1,136374,160482,51.0,2007
6,22,184,5,135717,166575,78.0,2010
6,80,15,0,105118,141978,43.0,2009
6,82,6,5,106666,141315,51.0,2006
5,90,12,7,179472,198691,28.0,2010
6,17,157,2,143287,160716,37.0,2010
5,39,9,0,97116,161225,49.0,2006
6,102,11,10,102961,198202,46.0,2008
5,90,11,3,158149,189684,45.0,2004
6,125,7,14,176585,155391,38.0,2005
6,77,23,0,94142,138945,61.0,2007
6,79,6,12,157844,221619,46.0,2004
6,116,13,1,165365,144290,39.0,2006
6,58,15,7,91515,137940,32.0,2011
5,109,8,11,144321,164372,49.0,2006
6,180,9,4,182540,142631,48.0,2006
6,103,1,6,218087,169772,45.0,2010
5,107,8,1,155834,144683,56.0,2005
5,14,121,3,125796,156566,49.0,2011
6,149,2,5,155588,136195,30.0,2010
5,76,49,0,94185,129029,41.0,2011
6,55,3,0,94577,200391,64.0,2007
6,80,4,4,92022,132796,45.0,2011
6,40,16,6,139742,156893,53.0,2005
6,142,7,5,183472,133052,43.0,2006
6,14,23,0,126850,165825,56.0,2013
6,24,30,3,125340,157710,36.0,2011
5,13,18,3,126495,169574,33.0,2011
6,85,2,10,151736,199762,47.0,2006
6,68,3,0,117537,123410,49.0,2005
6,116,8,6,161730,162718,45.0,2005
6,123,2,2,89350,125014,51.0,2012
6,47,17,7,91018,127625,50.0,2007
4,14,95,2,123662,152002,35.0,2010
5,49,107,0,90602,125550,74.0,2006
5,86,2,22,157799,147720,39.0,2005
